canonical_model_name,architecture_config_path,checkpoint_path,checkpoint_sha256,checkpoint_epoch,stored_variant_tag,validation_selection_metric,dependencies,channel_mapping,availability_status
CGFormer DAV2 prior,recorded in evaluator source,/datatank/giridhar.vb/repos/ws_jepa_occufly_test/CGFormer/logs/ssc/cgformer/dav2prior_train/tensorboard/version_0/checkpoints/best.ckpt,1fdae9c53e836914eee334dad0d1c053f2b8e8b72a9487f9bc37b7054d550ab4,0,,ssc_miou_gt_present,,22 contiguous channels including empty,available; canonically re-evaluated
"FSSC RGB context DPT, depth FiLM-DPT",recorded in evaluator source,/datatank/giridhar.vb/repos/ws_jepa_occufly_test/experiments_wacv27/outputs/results/ssc/fssc_rgb_context_dpt_depth_film_dpt_reproduction_fixed_20260826/ssc_epoch_009.pt,72f897ae7960143d83df522dbff967b455b989a15e92e58d841bab7ce4aabe0b,9,,ssc_miou_gt_present,,37 raw-ID-indexed channels adapted to canonical 22,available; canonically re-evaluated
FSSC-VoxDet V1 — FSSC RGB-context/DPT + FiLM-DPT depth + spatial encoder + VoxDet TDP/VoxNT,recorded in evaluator source,/datatank/giridhar.vb/data/checkpoints/my_checkpoints/03_voxnt_variant_1_independent/ssc_epoch_013.pt,86df575a14544bd5de0ac9d3003747760dd5e2646866fc59bd77d8e9922659e9,13,,ssc_miou_gt_present,,37 raw-ID-indexed channels adapted to canonical 22,available; canonically re-evaluated
Monocular VoxDet V2 — reference losses and auxiliary head,variant_2_voxdet_reference_losses_auxhead,/datatank/giridhar.vb/data/checkpoints/VoxDet_original_related/monocular_voxdet_occufly_variant_2_reference_losses_auxhead_seed42_20260827/best_val_miou.pt,066cc91dd71cd730c2ee594663fd44fcd5c5f1d76e941165707d5dc729e02365,2,variant_2_voxdet_reference_losses_auxhead,ssc_miou_gt_present,,22 contiguous channels including empty,available; canonically re-evaluated
"FSSC-VoxDet V3 — FiLM-DPT depth + ResNet context, 128-channel volume",variant_3_film_dpt_depth_resnet_context_128ch,/datatank/giridhar.vb/data/checkpoints/my_checkpoints/04_voxdet_variant_3_film_dpt_depth_resnet_context_128ch_seed42_20260828/best_val_miou.pt,c19e3748480a7df46ea73cc58c8fe362b9ea5952f31ec2f3b481ecddcff57f39,2,variant_3_film_dpt_depth_resnet_context_128ch,ssc_miou_gt_present,/datatank/giridhar.vb/data/checkpoints/vjepa2_1_vitG_384.pt,22 contiguous channels used directly,available; canonically re-evaluated
"FSSC-VoxDet V4 — FiLM-DPT depth + V-JEPA 2.1 DPT context, 128-channel volume",variant_4_film_dpt_depth_vjepa21_dpt_context_128ch_reference_losses_auxhead,/datatank/giridhar.vb/data/checkpoints/my_checkpoints/05_voxdet_variant_4_film_dpt_depth_vjepa21_dpt_context_128ch_seed42_20260828/best_val_miou.pt,651bad19c65e8ef90ea9e903c229279ebd4b4c52d405d3742b31db63006ca480,4,variant_4_film_dpt_depth_vjepa21_dpt_context_128ch_reference_losses_auxhead,ssc_miou_gt_present,/datatank/giridhar.vb/data/checkpoints/vjepa2_1_vitG_384.pt,22 contiguous channels used directly,available; canonically re-evaluated
FSSC-VoxDet V5 — corrected VoxNT/evaluation,variant_5_vjepa21_dpt_context_corrected_voxnt_fixed_eval,/datatank/giridhar.vb/data/checkpoints/my_checkpoints/06_voxdet_variant_5_vjepa21_dpt_context_corrected_voxnt_fixed_eval_seed42_20260828/best_val_miou.pt,4d6346b8d2b258efdccd96ef5831584840b8f7b5855ef82d4890a9f6488dbb87,2,variant_5_vjepa21_dpt_context_corrected_voxnt_fixed_eval,ssc_miou_gt_present,/datatank/giridhar.vb/data/checkpoints/vjepa2_1_vitG_384.pt,22 contiguous channels used directly,available; canonically re-evaluated
CGFormer Vjepa2_1ML_FiLM_DPT,,,,,,,,not evaluated,"historical reported metrics retained; checkpoint retained, but its recorded V-JEPA depth-prior dependency tree is missing; no substitution permitted"
"FSSC RGB context FiLM-DPT, depth FiLM-DPT",,,,,,,,not evaluated,historical reported metrics retained; checkpoint unavailable
"FSSC video context DTA-DPT, depth DTA-MVS",,,,,,,,not evaluated,historical reported metrics retained; checkpoint unavailable
"FSSC video context DTA-DPT, depth DTA-FiLM-MVS",,,,,,,,not evaluated,historical reported metrics retained; checkpoint unavailable
FSSC-VoxDet V5 v2 — long-tail/depth-gradient/full-resolution VoxNT/cosine,,,,,,,,not evaluated,historical reported metrics retained; training active on DGX-4; deliberately excluded from this audit snapshot
